"osm_id","latitude","longitude","name","traffic_signals","direction","crossing","source","osm_url"
287793997,12.9634181,77.5891393,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/287793997"
287911099,12.9715933,77.6359347,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/287911099"
287911537,12.9751043,77.6252162,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/287911537"
287912509,12.9703619,77.6413242,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/287912509"
294076280,12.9903012,77.5886396,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/294076280"
294081382,12.9828071,77.5969513,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/294081382"
294082867,12.9850940,77.5722241,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/294082867"
294083347,12.9754468,77.5747547,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/294083347"
294083513,12.9752011,77.5763387,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/294083513"
294083863,12.9878262,77.5742634,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/294083863"
294084044,12.9890267,77.5739571,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/294084044"
295735336,13.0087663,77.5691563,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/295735336"
295735338,13.0055874,77.5692348,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/295735338"
295735342,12.9968667,77.5692940,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/295735342"
295735476,13.0146245,77.5728870,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/295735476"
296029992,13.0039820,77.6195908,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/296029992"
298830710,12.9657377,77.6252023,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/298830710"
298830828,12.9667429,77.6206838,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/298830828"
298831052,12.9552045,77.6894444,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/298831052"
303926963,12.9205751,77.6002099,"Gurappana Palya Junction","","","","OpenStreetMap","https://www.openstreetmap.org/node/303926963"
303975904,12.9483195,77.5767750,"","","","uncontrolled","OpenStreetMap","https://www.openstreetmap.org/node/303975904"
304277418,12.9274056,77.6208361,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/304277418"
304771894,12.9314922,77.6226225,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/304771894"
305154536,12.9102440,77.5952994,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/305154536"
306074373,12.9609211,77.6388110,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/306074373"
306586928,12.9345385,77.6123203,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/306586928"
306594280,12.9172507,77.6224563,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/306594280"
306601671,12.9372946,77.6018928,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/306601671"
306601726,12.9372664,77.6014978,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/306601726"
306601731,12.9369854,77.6019814,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/306601731"
306834748,12.9664257,77.6142217,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/306834748"
306854061,12.9139370,77.6101015,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/306854061"
307404566,12.9237827,77.6398975,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/307404566"
308063197,12.9845161,77.5718021,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308063197"
308063843,12.9571579,77.5284137,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/308063843"
308064375,12.9521149,77.4998105,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308064375"
308069216,12.9808805,77.5365605,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308069216"
308072410,13.0258594,77.5207425,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/308072410"
